layer,matrix,record,strategy,variant,eig_imag_max,eig_max,eig_min,erank,fro,n_sv_gt_0.01,n_sv_gt_0.5,quota,quota_a,quota_b,rel_fro,sym_err,top10_align,top32_align,trace
5,C_contrastive,diagnostic,per_step_0_a1.0,V2,3.82639e-06,0.40962,-6.04882e-09,107.213,1.18371,130,0,0.00869498,,,,0.298913,,,8.90366
5,C_success,diagnostic,per_step_0_a1.0,V3,0,0.995583,-6.10154e-09,69.9807,6.00247,145,37,0.0425877,,,,0,,,43.6098
5,C_failure,diagnostic,per_step_0_a1.0,V3,0,0.995304,-1.8027e-09,79.9673,6.06503,161,38,0.0450757,,,,0,,,46.1575
5,C_contrastive,diagnostic,per_step_0_a1.0,V3,5.39438e-07,0.384737,-8.95344e-10,109.094,1.10672,116,0,0.00851274,,,,0.0545975,,,8.71705
5,C_success,V1_vs_V0,per_step_0_a1.0,V1|V0,,,,,,,,,0.0434727,0.0659089,0.353483,,0.609456,0.967249,
5,C_failure,V1_vs_V0,per_step_0_a1.0,V1|V0,,,,,,,,,0.0459423,0.0686055,0.351973,,0.610017,0.967807,
5,C_contrastive,V1_vs_V0,per_step_0_a1.0,V1|V0,,,,,,,,,0.00865621,0.0255444,0.705375,,0.337011,0.56647,
5,C_success,V2_vs_V1,per_step_0_a1.0,V2|V1,,,,,,,,,0.0425877,0.0434727,0.149042,,0.900305,0.968704,
5,C_failure,V2_vs_V1,per_step_0_a1.0,V2|V1,,,,,,,,,0.0450757,0.0459423,0.144516,,0.899625,0.96868,
5,C_contrastive,V2_vs_V1,per_step_0_a1.0,V2|V1,,,,,,,,,0.00869498,0.00865621,0.131055,,0.981356,0.98433,
5,C_success,V3_vs_V2,per_step_0_a1.0,V3|V2,,,,,,,,,0.0425877,0.0425877,1.38809e-11,,1,1,
5,C_failure,V3_vs_V2,per_step_0_a1.0,V3|V2,,,,,,,,,0.0450757,0.0450757,4.98061e-12,,1,1,
5,C_contrastive,V3_vs_V2,per_step_0_a1.0,V3|V2,,,,,,,,,0.00851274,0.00869498,0.292388,,0.891438,0.982555,
5,C_success,V0_vs_V3,per_step_0_a1.0,V0|V3,,,,,,,,,0.0659089,0.0425877,0.425754,,0.536611,0.964948,
5,C_failure,V0_vs_V3,per_step_0_a1.0,V0|V3,,,,,,,,,0.0686055,0.0450757,0.422837,,0.540845,0.96649,
5,C_contrastive,V0_vs_V3,per_step_0_a1.0,V0|V3,,,,,,,,,0.0255444,0.00851274,1.47047,,0.320015,0.55484,
5,C_success,diagnostic,per_step_1_a1.0,V0,0,0.999723,0.000174097,166.762,7.18087,346,60,0.0749079,,,,1.00104e-10,,,76.7056
5,C_failure,diagnostic,per_step_1_a1.0,V0,0,0.999718,0.000235042,177.163,7.29668,370,63,0.0782545,,,,4.95986e-11,,,80.1326
5,C_contrastive,diagnostic,per_step_1_a1.0,V0,0.000304596,0.41482,0.000174088,234.118,2.46388,312,0,0.0291588,,,,0.149117,,,29.8586
5,C_success,diagnostic,per_step_1_a1.0,V1,0,0.9997,-6.31793e-09,70.7331,6.03865,153,38,0.0430066,,,,1.70398e-12,,,44.0387
5,C_failure,diagnostic,per_step_1_a1.0,V1,0,0.999692,-2.00969e-09,81.9194,6.09441,172,39,0.0455577,,,,6.75445e-12,,,46.6511
5,C_contrastive,diagnostic,per_step_1_a1.0,V1,4.89611e-10,0.415415,-6.26916e-09,114.745,1.15413,143,0,0.00859338,,,,0.295094,,,8.79962
5,C_success,diagnostic,per_step_1_a1.0,V2,0,0.994495,-6.13292e-09,70.0507,5.96109,152,37,0.0421164,,,,2.84685e-11,,,43.1272
5,C_failure,diagnostic,per_step_1_a1.0,V2,0,0.994037,-1.73167e-09,81.3293,6.0185,172,38,0.0446813,,,,1.22335e-10,,,45.7537
5,C_contrastive,diagnostic,per_step_1_a1.0,V2,2.54883e-05,0.414245,-6.1064e-09,114.337,1.15758,143,0,0.00861816,,,,0.292144,,,8.825
5,C_success,diagnostic,per_step_1_a1.0,V3,0,0.994495,-6.13293e-09,70.0507,5.96109,152,37,0.0421164,,,,0,,,43.1272
5,C_failure,diagnostic,per_step_1_a1.0,V3,0,0.994037,-1.73168e-09,81.3293,6.0185,172,38,0.0446813,,,,0,,,45.7537
5,C_contrastive,diagnostic,per_step_1_a1.0,V3,8.36379e-06,0.391118,-8.92294e-10,112.697,1.12921,132,0,0.00860653,,,,0.102243,,,8.81309
5,C_success,V1_vs_V0,per_step_1_a1.0,V1|V0,,,,,,,,,0.0430066,0.0749079,0.485499,,0.60009,0.955998,
5,C_failure,V1_vs_V0,per_step_1_a1.0,V1|V0,,,,,,,,,0.0455577,0.0782545,0.485995,,0.615758,0.955232,
5,C_contrastive,V1_vs_V0,per_step_1_a1.0,V1|V0,,,,,,,,,0.00859338,0.0291588,0.786116,,0.313355,0.454075,
5,C_success,V2_vs_V1,per_step_1_a1.0,V2|V1,,,,,,,,,0.0421164,0.0430066,0.150947,,0.900186,0.968959,
5,C_failure,V2_vs_V1,per_step_1_a1.0,V2|V1,,,,,,,,,0.0446813,0.0455577,0.14726,,0.89994,0.968883,
5,C_contrastive,V2_vs_V1,per_step_1_a1.0,V2|V1,,,,,,,,,0.00861816,0.00859338,0.122868,,0.986039,0.991346,
5,C_success,V3_vs_V2,per_step_1_a1.0,V3|V2,,,,,,,,,0.0421164,0.0421164,2.4716e-11,,1,1,
5,C_failure,V3_vs_V2,per_step_1_a1.0,V3|V2,,,,,,,,,0.0446813,0.0446813,9.11164e-11,,1,1,
5,C_contrastive,V3_vs_V2,per_step_1_a1.0,V3|V2,,,,,,,,,0.00860653,0.00861816,0.257008,,0.963441,0.985695,
5,C_success,V0_vs_V3,per_step_1_a1.0,V0|V3,,,,,,,,,0.0749079,0.0421164,0.605072,,0.528817,0.954041,
5,C_failure,V0_vs_V3,per_step_1_a1.0,V0|V3,,,,,,,,,0.0782545,0.0446813,0.608268,,0.533098,0.953987,
5,C_contrastive,V0_vs_V3,per_step_1_a1.0,V0|V3,,,,,,,,,0.0291588,0.00860653,1.73073,,0.304006,0.444718,
5,C_success,diagnostic,per_step_2_a1.0,V0,0,0.999742,0.000154552,163.353,7.33731,339,61,0.076059,,,,4.79301e-11,,,77.8844
5,C_failure,diagnostic,per_step_2_a1.0,V0,0,0.999739,0.000214753,173.26,7.43116,361,61,0.0790046,,,,3.42096e-11,,,80.9007
5,C_contrastive,diagnostic,per_step_2_a1.0,V0,0.000382312,0.411134,0.000154541,237.641,2.31763,305,0,0.0275979,,,,0.156125,,,28.2603
5,C_success,diagnostic,per_step_2_a1.0,V1,0,0.999725,-6.51516e-09,71.8315,6.04681,156,39,0.0434113,,,,2.74397e-11,,,44.4532
5,C_failure,diagnostic,per_step_2_a1.0,V1,0,0.99972,-1.86356e-09,82.4904,6.09936,176,40,0.0457641,,,,1.88928e-12,,,46.8625
5,C_contrastive,diagnostic,per_step_2_a1.0,V1,2.50789e-06,0.416293,-6.57752e-09,116.074,1.18765,150,0,0.00890793,,,,0.272577,,,9.12172
5,C_success,diagnostic,per_step_2_a1.0,V2,0,0.994332,-6.69435e-09,71.1449,5.97036,155,38,0.042525,,,,5.55177e-14,,,43.5456
5,C_failure,diagnostic,per_step_2_a1.0,V2,0,0.993805,-2.07025e-09,81.8862,6.02443,175,39,0.0448883,,,,0,,,45.9656
5,C_contrastive,diagnostic,per_step_2_a1.0,V2,2.72941e-10,0.416391,-6.70291e-09,115.644,1.19077,150,0,0.00892431,,,,0.269145,,,9.13849
5,C_success,diagnostic,per_step_2_a1.0,V3,0,0.994332,-6.69435e-09,71.1449,5.97036,155,38,0.042525,,,,0,,,43.5456
5,C_failure,diagnostic,per_step_2_a1.0,V3,0,0.993805,-2.07013e-09,81.8862,6.02443,175,39,0.0448883,,,,0,,,45.9656
5,C_contrastive,diagnostic,per_step_2_a1.0,V3,0.000234021,0.504663,-9.75952e-10,111.059,1.21769,141,1,0.00906036,,,,0.123217,,,9.27781
5,C_success,V1_vs_V0,per_step_2_a1.0,V1|V0,,,,,,,,,0.0434113,0.076059,0.511969,,0.591327,0.943762,
5,C_failure,V1_vs_V0,per_step_2_a1.0,V1|V0,,,,,,,,,0.0457641,0.0790045,0.509578,,0.617227,0.942049,
5,C_contrastive,V1_vs_V0,per_step_2_a1.0,V1|V0,,,,,,,,,0.00890793,0.0275979,0.779655,,0.395506,0.426,
5,C_success,V2_vs_V1,per_step_2_a1.0,V2|V1,,,,,,,,,0.042525,0.0434113,0.150092,,0.899665,0.968781,
5,C_failure,V2_vs_V1,per_step_2_a1.0,V2|V1,,,,,,,,,0.0448883,0.0457641,0.147046,,0.899944,0.969159,
5,C_contrastive,V2_vs_V1,per_step_2_a1.0,V2|V1,,,,,,,,,0.00892431,0.00890793,0.104272,,0.920722,0.988572,
5,C_success,V3_vs_V2,per_step_2_a1.0,V3|V2,,,,,,,,,0.042525,0.042525,3.4539e-12,,1,1,
5,C_failure,V3_vs_V2,per_step_2_a1.0,V3|V2,,,,,,,,,0.0448883,0.0448883,1.43258e-11,,1,1,
5,C_contrastive,V3_vs_V2,per_step_2_a1.0,V3|V2,,,,,,,,,0.00906036,0.00892431,0.267638,,0.906256,0.956847,
